新闻标题,发布日期,发稿单位,网页链接
公共管理学院、管理科学与工程学院、数据科学与人工智能学院联合举办学习贯彻党的二十届四中全会精神宣讲报告会,2025-12-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95835.html
东北财经大学现代供应链管理研究院共同发起成立“善意中国企业发展研究院”,2025-12-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95807.html
东北财经大学第二期师生数字素养提升培训圆满举办,2025-12-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95806.html
东北财经大学党委副书记、校长汪旭晖深入基层宣讲党的二十届四中全会精神,2025-12-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95802.html
东北财经大学党委书记同民主党派、统战团体基层组织负责人集体谈心谈话,2025-12-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95776.html
辽宁省委常委、副省长张立林到东北财经大学宣讲党的二十届四中全会精神,2025-12-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95769.html
聚智“青言汇” 解码“十五五”——东北财经大学举办党的二十届四中全会精神青年讲师团、大学生志愿宣讲团学习分享报告会,2025-12-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95757.html
东北财经大学党委副书记、校长汪旭晖教授在《光明日报》发表理论文章《持续释放数据要素市场化配置改革红利》,2025-12-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95747.html
东北财经大学现代供应链管理研究院成功协办第六届全国供应链与运营管理学术年会,2025-12-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95719.html
东北财经大学牵头成立“文体旅康食”产教融合共同体,2025-12-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95718.html
东北财经大学召开“十五五”规划编制推进会暨“双一流”建设攻坚动员会,2025-12-08,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95671.html
东北财经大学召开2025年本科教育教学工作会议 擘画一流数智新财经人才培养新蓝图,2025-12-08,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95670.html
中央广播电视总台辽宁总站向东北财经大学发来感谢信,2025-12-05,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95659.html
大连市妇联党组书记、主席赵彤一行到东北财经大学调研,2025-12-05,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95657.html
东北财经大学召开学生思想政治工作研讨会 以强大思政引领力落实立德树人根本任务,2025-12-04,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95628.html
东北财经大学与大连市公安局沙河口分局联合原创反诈情景剧成功首演,2025-12-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95601.html
东北财经大学党委与大连财经学院党委举行党建结对共建协议签约仪式,2025-12-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95579.html
东北财经大学AI课程建设工作坊成功举办,2025-12-02,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95556.html
东北财经大学党委理论学习中心组（扩大）举行集体学习会 深入学习贯彻《中国共产党思想政治工作条例》,2025-12-02,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95539.html
2025-2026第二十一届“花旗杯”金融创新应用大赛在东北财经大学正式启动,2025-12-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95523.html
“潮起湘江 财聚星城”东北财经大学湖南校友会2025年年会暨迎新会成功举办,2025-12-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95522.html
中国共产主义青年团东北财经大学第十一次代表大会胜利召开,2025-11-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95468.html
东北财经大学召开2025年基层统战工作专项培训会,2025-11-28,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95464.html
校际携手育英才 跨校融合启新程——东北财经大学与大连海事大学“会计学+法学”联合学士学位培养项目签约仪式成功举行,2025-11-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95433.html
海南自贸港涉税新规发布，东北财经大学贡献专业力量,2025-11-26,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95421.html
斯洛伐克马杰伊贝尔大学校长一行访问东北财经大学并参加共建孔子学院理事会,2025-11-26,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95419.html
品牌铸魂 数智赋能 | 高等院校继续教育2025年度盛会在东北财经大学成功召开,2025-11-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95376.html
东北财经大学教学研究中心举办2025年教学改革研究项目结项暨教学创新研讨会,2025-11-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95375.html
东北财经大学党委副书记、校长汪旭晖一行赴粤开展调研,2025-11-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95354.html
东北财经大学举办深入学习贯彻党的二十届四中全会精神处科级干部和基层党务工作者素质能力提升专题培训班,2025-11-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95337.html
深学细悟全会精神 书香赋能强国建设——东北财经大学图书馆举办学习贯彻党的二十届四中全会精神专题文献资源展,2025-11-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95315.html
大连市图书馆学会2025年“AI赋能图书馆创新发展与实践探索”学术研讨会在东北财经大学成功举办,2025-11-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95314.html
东北财经大学党委理论学习中心组举行集体学习会 深入学习贯彻党的二十届四中全会精神,2025-11-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95311.html
东北财经大学在第七届辽宁省大学生网络文化节和网络教育优秀作品推选展示活动中再创佳绩,2025-11-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95306.html
赞比亚国家广播公司报道东北财经大学中非创新合作交流活动,2025-11-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95304.html
学习贯彻党的二十届四中全会精神东北财经大学宣讲团首场报告会举行,2025-11-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95296.html
东北财经大学成功召开公共管理学科“十五五”发展规划及交叉学科建设专家组论证会,2025-11-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95277.html
中央广播电视总台向东北财经大学发来感谢信,2025-11-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95276.html
东北财经大学再度荣膺“2025年度HSK优秀考点”,2025-11-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95255.html
东北财经大学参与编制的国内首个财税行业大模型技术标准正式发布,2025-11-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95235.html
沙河口区副区长、公安分局党组书记、局长徐宏开一行到东北财经大学调研指导校园安全工作,2025-11-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95210.html
新华网聚焦东北财经大学推进人才培养数字化转型进行专题报道,2025-11-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95187.html
中国旅游集团有限公司党委副书记、董事石善博一行到东北财经大学调研,2025-11-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95186.html
东北财经大学召开2025年全校统战工作会议,2025-11-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95147.html
东北财经大学党委书记方红星会见中国农业银行党委委员、副行长王大军一行,2025-11-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95110.html
东北财经大学原创歌曲《向阳》荣获“廉韵清风”全省新时代廉洁文化文艺作品征集活动二等奖,2025-11-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95085.html
东北财经大学会计学院举办第二届“天健专项奖（助）学金”颁奖仪式,2025-11-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95084.html
